Code,Name,Type,DrainArea,SubBasin,City,State,Responsib,Operator,Latitude,Longitude,Altitude,River,StartDate,EndDate,Status,Origem,IsStudy
61078600,UHE PORTO COLÔMBIA RIO CAPIVARI,1,,61,ITUMIRIM,MINAS GERAIS,FURNAS,FURNAS,-21.3375,-44.8725,859.0,RIO CAPIVARI,2013-11-01,,Ativo,Setor Elétrico,0
61089390,CGH ILHÉUS JUSANTE,1,818.0,61,BARBACENA,MINAS GERAIS,FOCUS,FOCUS,-21.2486,-43.8986,963.0,RIO DAS MORTES,2014-08-01,,Ativo,Setor Elétrico,0
61089550,CGH LAVRAS JUSANTE,1,977.0,61,BARBACENA,MINAS GERAIS,FOCUS,FOCUS,-21.2142,-43.9364,928.0,RIO DAS MORTES,2024-07-01,,Ativo,Setor Elétrico,0
61096000,CGH SANTO ANTÔNIO DO RIO FREIRE JUSANTE,1,456.0,61,BARROSO,MINAS GERAIS,PUIATTI,PUIATTI,-21.1442,-43.9589,928.0,RIBEIRÃO DO LOURES,2024-10-01,,Ativo,Setor Elétrico,0
61106800,UHE FUNIL PORTO TIRADENTES,1,2718.0,61,SÃO JOÃO DEL REI,MINAS GERAIS,ALIANÇA,ALIANÇA,-21.1214,-44.2344,660.0,RIO DAS MORTES,1993-05-01,,Ativo,Setor Elétrico,0
61106900,UHE FURNAS RIO DAS MORTES,1,,61,CONCEIÇÃO DA BARRA,MINAS GERAIS,FURNAS,FURNAS,-21.0939,-44.5839,865.0,RIO DAS MORTES,2013-11-01,,Ativo,Setor Elétrico,0
61112000,CGH CARANDAÍ MONTANTE,1,,61,CORONEL XAVIER CHAV,MINAS GERAIS,CIF,CIF,-21.0208,-44.1483,972.0,RIO CARANDAÍ,2013-07-01,,Ativo,Setor Elétrico,0
61114000,CGH CARANDAÍ BARRAMENTO,1,,61,CORONEL XAVIER CHAV,MINAS GERAIS,CIF,CIF,-21.0544,-44.2036,944.0,RIO CARANDAÍ,2013-07-01,,Ativo,Setor Elétrico,0
61114500,CGH CARANDAÍ JUSANTE 1,1,,61,CORONEL XAVIER CHAV,MINAS GERAIS,CIF,CIF,-21.055,-44.21,912.0,RIO CARANDAÍ,2012-10-01,,Ativo,Setor Elétrico,0
61116000,CGH CARANDAÍ JUSANTE 2,1,,61,CORONEL XAVIER CHAV,MINAS GERAIS,CIF,CIF,-21.08,-44.2339,890.0,RIO CARANDAÍ,2013-07-01,,Ativo,Setor Elétrico,0
61135000,IBITURUNA,1,6070.0,61,IBITURUNA,MINAS GERAIS,ANA,IGAM-MG,-21.1425,-44.7397,799.0,RIO DAS MORTES,1934-03-01,,Ativo,RHN,0
61135002,UHE FUNIL IBITURUNA JUSANTE,1,6050.0,61,IBITURUNA,MINAS GERAIS,ALIANÇA,ALIANÇA,-21.1383,-44.7439,799.0,RIO DAS MORTES,1987-12-01,,Ativo,Setor Elétrico,0
61146080,UHE FUNIL BARRAMENTO,1,15720.0,61,LAVRAS,MINAS GERAIS,ALIANÇA,ALIANÇA,-21.1417,-45.0353,,RIO GRANDE,2002-11-01,,Ativo,Setor Elétrico,0
61150001,UHE FUNIL RIBEIRÃO VERMELHO,1,15800.0,61,RIBEIRÃO VERMELHO,MINAS GERAIS,ALIANÇA,ALIANÇA,-21.1903,-45.0569,,RIO GRANDE,1998-07-01,,Ativo,Setor Elétrico,0
