Name,Code,Type,DrainArea,SubBasin,City,State,Responsib,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD,QScore,QLabel,IsStudy
VALSUGANA VELHA,57040005,1,94.0,57,SANTA TERESA,ESPÍRITO SANTO,ANA,-19.9706,-40.5308,1960-07-01,1973-12-31,14,0.2,12,14.3,0.4738,Limitada,0
VALSUGANA VELHA MONTANTE,57040008,1,88.0,57,SANTA TERESA,ESPÍRITO SANTO,ANA,-19.9642,-40.5417,1983-01-01,2019-06-03,37,0.6,34,8.1,0.8889,Excelente,0
VALSUGANA VELHA - JUSANTE,57040010,1,96.0,57,SANTA TERESA,ESPÍRITO SANTO,ANA,-19.9333,-40.6006,1977-01-01,1982-11-30,6,26.7,3,50.0,0.2148,Limitada,0
CACHOEIRA SUIÇA,57120000,1,832.0,57,SANTA LEOPOLDINA,ESPÍRITO SANTO,ANA,-20.0828,-40.5761,1954-10-06,1965-01-25,12,22.0,6,50.0,0.318,Limitada,0
SANTA LEOPOLDINA,57130000,1,929.0,57,SANTA LEOPOLDINA,ESPÍRITO SANTO,ANA,-20.0997,-40.5278,1949-10-19,2019-12-31,71,0.0,70,1.4,0.93,Excelente,0
CÓRREGO DO GALO,57170000,1,980.0,57,DOMINGOS MARTINS,ESPÍRITO SANTO,ANA,-20.3164,-40.6517,1955-04-01,2019-12-31,65,0.0,64,1.5,0.93,Excelente,0
MARECHAL FLORIANO,57190000,1,321.0,57,DOMINGOS MARTINS,ESPÍRITO SANTO,ANA,-20.4108,-40.6764,1949-10-15,1990-12-31,42,12.6,34,19.0,0.7244,Moderada,0
FAZENDA JUCURUABA,57230000,1,1690.0,57,VIANA,ESPÍRITO SANTO,ANA,-20.415,-40.4853,1968-01-01,2019-12-31,52,20.3,36,30.8,0.8082,Excelente,0
MATILDE,57250000,1,206.0,57,ALFREDO CHAVES,ESPÍRITO SANTO,ANA,-20.5569,-40.8119,1949-10-13,2019-12-31,71,0.0,69,2.8,0.93,Excelente,0
PAU D'ALHO,57300000,1,304.0,57,RIO NOVO DO SUL,ESPÍRITO SANTO,ANA,-20.8856,-40.9464,1971-01-01,2019-10-31,49,0.6,47,4.1,0.9264,Excelente,0
ICONHA MONTANTE,57320000,1,152.0,57,ICONHA,ESPÍRITO SANTO,ANA,-20.7772,-40.8281,1969-12-07,2019-12-31,51,1.2,47,7.8,0.9228,Excelente,0
USINA FORTALEZA,57350000,1,205.0,57,MUNIZ FREIRE,ESPÍRITO SANTO,ANA,-20.3722,-41.4092,1968-10-01,2019-09-30,52,0.0,49,5.8,0.93,Excelente,0
IÚNA,57360000,1,412.0,57,IÚNA,ESPÍRITO SANTO,ANA,-20.3528,-41.5342,1952-08-18,2019-12-31,68,0.1,66,2.9,0.9294,Excelente,0
TERRA CORRIDA  MONTANTE,57370000,1,566.0,57,MUNIZ FREIRE,ESPÍRITO SANTO,ANA,-20.4303,-41.5028,1968-10-01,2019-12-31,52,0.0,51,1.9,0.93,Excelente,0
ITAICI,57400000,1,1010.0,57,MUNIZ FREIRE,ESPÍRITO SANTO,ANA,-20.5283,-41.5114,1961-07-23,2019-12-31,59,0.0,57,3.4,0.93,Excelente,0
IBITIRAMA,57420000,1,337.0,57,ALEGRE,ESPÍRITO SANTO,ANA,-20.5406,-41.6656,1952-09-01,2019-11-30,68,0.2,63,7.4,0.9288,Excelente,0
RIVE,57450000,1,2180.0,57,ALEGRE,ESPÍRITO SANTO,ANA,-20.7469,-41.4661,1935-08-16,2018-12-31,84,0.1,81,3.6,0.9194,Excelente,0
PACOTUBA,57460000,1,2720.0,57,CACHOEIRO DO  ITAPE,ESPÍRITO SANTO,ANA,-20.7617,-41.2728,1984-06-24,2010-05-14,27,0.8,23,14.8,0.6727,Moderada,0
FAZENDA LAJINHA,57476500,1,410.0,57,CONCEIÇÃO DO CASTEL,ESPÍRITO SANTO,ANA,-20.4269,-41.275,1984-06-14,2019-12-31,36,0.0,35,2.8,0.88,Excelente,0
CASTELO,57490000,1,972.0,57,CASTELO,ESPÍRITO SANTO,ANA,-20.6061,-41.1997,1937-08-14,2019-12-31,83,0.0,80,3.6,0.93,Excelente,0
