ottobacia_id,area_km2,cn_2022,tc_base_h,tc_manning_h
213,39.762505,63.43739,7.6054974,12.001987
214,16.516367,69.17508,14.171767,45.82447
215,9.872604,71.33165,14.887165,40.1389
216,1.8797419,73.38714,17.233412,38.59393
217,13.253222,70.587746,15.58104,46.100395
218,21.286749,69.207085,17.498238,57.301952
219,13.053304,73.066826,15.909551,38.54485
220,20.76767,71.935104,16.251175,42.740284
221,20.742605,71.34272,15.578396,42.26881
222,32.00094,60.319016,6.982823,13.975729
223,17.575445,63.39003,4.293905,8.183212
224,18.981842,62.99746,9.752585,15.434037
225,0.16608754,69.861305,17.609268,61.263363
226,14.400782,70.252304,10.65424,30.774271
227,4.565605,63.782166,3.2211783,5.2512336
228,0.03593993,69.284004,18.962479,33.305862
229,12.193643,69.228775,9.353986,29.136234
230,4.260096,62.916847,9.507524,15.545014
231,87.681526,63.918068,2.4935222,3.968882
232,6.8346834,72.00584,16.094269,42.81108
233,0.0083617065,76.63636,6.450129,6.177527
234,0.2791068,72.295525,17.788532,42.05977
235,0.008140986,63.68897,22.904957,52.99006
236,0.24113767,62.347404,9.825177,12.1164055
237,0.048572887,61.924232,4.303306,7.6843414
238,0.019038776,70.26393,11.546399,31.429684
239,19.731243,46.043587,9.205875,14.959472
240,0.07055345,64.75,11.304884,11.304884
241,0.39052635,63.648186,7.415441,12.112342
242,0.052301884,72.567986,13.942121,58.957863
243,0.074274644,67.60591,15.51648,57.764263
244,7.1357484,61.3102,7.352975,15.833101
