Code,Name,Type,DrainArea,SubBasin,City,State,Responsib,Operator,Latitude,Longitude,Altitude,River,StartDate,EndDate,Status,Origem,IsStudy
14526400,RIO MAÚ,1,,14,UIRAMUTÃ,RORAIMA,FEMARH-RR,FEMARH-RR,4.5761,-60.1397,,RIO MAÚ OU IRENG,,,Ativo,RHN,0
14527000,PONTE DO TACUTU,1,24300.0,14,NORMÂNDIA,RORAIMA,ANA,SGB-CPRM,3.5675,-59.8883,,RIO TACUTU,2005-11-01,,Ativo,RHN,0
14530000,VILA SURUMU,1,2280.0,14,PACARAIMA,RORAIMA,ANA,SGB-CPRM,4.1961,-60.7939,,RIO SURUMU,1984-01-01,,Ativo,RHN,0
14540000,FAZENDA BANDEIRA BRANCA,1,3210.0,14,UIRAMUTÃ,RORAIMA,ANA,SGB-CPRM,4.6306,-60.4706,,RIO COTINGO,1970-10-01,,Ativo,RHN,0
14558000,FAZENDA PARAÍSO,1,40600.0,14,BONFIM,RORAIMA,ANA,SGB-CPRM,3.3178,-60.3447,,RIO TACUTU,2012-05-01,,Ativo,RHN,0
14620000,BOA VISTA,1,97200.0,14,BOA VISTA,RORAIMA,ANA,SGB-CPRM,2.8267,-60.6561,,RIO BRANCO,1967-12-01,,Ativo,RHN,0
14680001,FÉ E ESPERANÇA,1,12200.0,14,MUCAJAÍ,RORAIMA,ANA,SGB-CPRM,2.8708,-61.4406,,RIO MUCAJAÍ,1973-12-01,,Ativo,RHN,0
14690000,MUCAJAÍ,1,19800.0,14,MUCAJAÍ,RORAIMA,ANA,SGB-CPRM,2.4714,-60.9178,,RIO MUCAJAÍ,1995-03-01,,Ativo,RHN,0
14710000,CARACARAÍ,1,126000.0,14,CARACARAÍ,RORAIMA,ANA,SGB-CPRM,1.8214,-61.1236,,RIO BRANCO,1967-01-01,,Ativo,RHN,0
14740000,FAZENDA ANAUÁ,1,5900.0,14,CARACARAÍ,RORAIMA,ANA,SGB-CPRM,1.1292,-60.2236,,RIO ANAUA,2005-09-01,,Ativo,RHN,0
14790000,SANTA MARIA DO BOIAÇU,1,184000.0,14,RORAINÓPOLIS,RORAIMA,ANA,SGB-CPRM,-0.5053,-61.7864,,RIO BRANCO,1967-02-01,,Ativo,RHN,0
14840000,MOURA,1,593000.0,14,BARCELOS,AMAZONAS,ANA,SGB-CPRM,-1.4567,-61.6347,,RIO NEGRO,1979-01-01,,Ativo,RHN,0
14850000,BASE ALALAÚ,1,7080.0,14,RORAINÓPOLIS,RORAIMA,ANA,SGB-CPRM,-0.8586,-60.52,59.0,RIO ALALAU,1977-06-01,,Ativo,RHN,0
14990000,MANAUS,1,712000.0,14,MANAUS,AMAZONAS,ANA,SGB-CPRM,-3.1383,-60.0272,,RIO NEGRO,1902-09-01,2014-06-01,Ativo,RHN,0
15030000,JATUARANA,1,2920000.0,15,MANAUS,AMAZONAS,ANA,SGB-CPRM,-3.0633,-59.6478,,RIO SOLIMÕES-AMAZONAS,1977-08-01,,Ativo,RHN,0
15050001,PONTES E LACERDA,1,2990.0,15,PONTES E LACERDA,MATO GROSSO,SEMA-MT,SEMA-MT,-15.2158,-59.353,,RIO GUAPORÉ,2011-10-01,,Ativo,RHN,0
15120002,VILA BELA ST.TRINDADE,1,,15,VILA BELA DA SANTÍS,MATO GROSSO,SEMA-MT,SEMA-MT,-15.009,-59.956,196.0,RIO GUAPORÉ,2024-11-01,,Ativo,RHN,0
15124009,CABIXI,1,3600.0,15,CABIXI,RONDÔNIA,ANA,SGB-CPRM,-13.5125,-60.53,,RIO CABIXI ou BRANCO,1988-03-01,,Ativo,RHN,0
15130000,PIMENTEIRAS,1,54400.0,15,PIMENTEIRAS DO OEST,RONDÔNIA,ANA,SGB-CPRM,-13.4858,-61.05,,RIO GUAPORÉ,1983-03-01,,Ativo,RHN,0
15150000,PEDRAS NEGRAS,1,110000.0,15,COSTA MARQUES,RONDÔNIA,ANA,SGB-CPRM,-12.8514,-62.8992,152.0,RIO GUAPORÉ,1980-12-01,,Ativo,RHN,0
15200000,PRINCIPE DA BEIRA,1,341000.0,15,COSTA MARQUES,RONDÔNIA,ANA,SGB-CPRM,-12.4267,-64.4253,,RIO GUAPORÉ,1983-04-01,,Ativo,RHN,0
15248010,BOCA DO POMPEU - JUSANTE,1,4390.0,15,GUAJARÁ-MIRIM,RONDÔNIA,ANA,SGB-CPRM,-10.9175,-65.0433,,RIO OURO PRETO,1982-07-01,,Ativo,RHN,0
15307000,SALVACION,1,223.0,15,PERU,PERU,SENAMHI-PERU,SENAMHI-PERU,-12.8333,-71.5,520.0,RIO MADRE DE DIOS,1986-01-01,,Ativo,RHN,0
15308000,PAKITZA,1,9700.0,15,PERU,PERU,SENAMHI-PERU,SENAMHI-PERU,-11.95,-71.2833,319.0,RIO MADRE DE DIOS,2001-01-01,,Ativo,RHN,0
15320002,ABUNÃ,1,921000.0,15,PORTO VELHO,RONDÔNIA,ANA,SGB-CPRM,-9.7053,-65.3667,74.65,RIO MADEIRA,1976-02-01,,Ativo,RHN,0
15324000,PLÁCIDO DE CASTRO,1,7740.0,15,PLÁCIDO DE CASTRO,ACRE,ANA,SGB-CPRM,-10.3378,-67.1831,,RIO ABUNÃ,1992-06-01,,Ativo,RHN,0
15400000,PORTO VELHO,1,976000.0,15,PORTO VELHO,RONDÔNIA,ANA,SGB-CPRM,-8.7483,-63.9169,42.88,RIO MADEIRA,1964-02-01,,Ativo,RHN,0
15430000,ARIQUEMES,1,8140.0,15,ARIQUEMES,RONDÔNIA,ANA,SGB-CPRM,-9.9256,-63.0714,87.67,RIO JAMARI,1970-06-01,,Ativo,RHN,0
15490000,PROSPERIDADE (EX. FOZ DO JAMARI),1,977000.0,15,PORTO VELHO,RONDÔNIA,ANA,SGB-CPRM,-8.4522,-63.5178,40.0,RIO MADEIRA,1977-10-01,,Ativo,RHN,0
15490200,SÃO CARLOS,1,1400000.0,15,PORTO VELHO,RONDÔNIA,DNIT,DNIT,-8.4258,-63.4836,38.0,RIO MADEIRA,2021-05-01,,Ativo,RHN,0
15490600,PORTO VELHO,1,1400000.0,15,PORTO VELHO,RONDÔNIA,DNIT,DNIT,-8.5844,-63.7331,41.0,RIO MADEIRA,2021-05-01,,Ativo,RHN,0
15550000,SANTA ISABEL,1,12700.0,15,CANDÉIAS DO JAMARI,RONDÔNIA,ANA,SGB-CPRM,-8.7986,-63.7106,,RIO CANDEIAS,1976-03-01,,Ativo,RHN,0
15552600,FAZENDA FLOR DO CAMPO,1,4360.0,15,PIMENTA BUENO,RONDÔNIA,ANA,SGB-CPRM,-11.7489,-60.8678,185.0,RIO COMEMORAÇÃO,1982-12-01,,Ativo,RHN,0
15558000,PIMENTA BUENO,1,10100.0,15,PIMENTA BUENO,RONDÔNIA,ANA,SGB-CPRM,-11.6836,-61.1922,,RIO APEDIA  ou PIMENTA BUENO,1980-05-01,,Ativo,RHN,0
15558200,CACOAL,1,17900.0,15,CACOAL,RONDÔNIA,SEDAM-RO,SEDAM-RO,-11.4444,-61.4408,160.0,RIO PIRARARA,2015-07-01,,Ativo,RHN,0
15560000,JI-PARANÁ,1,32800.0,15,JIPARANÁ,RONDÔNIA,ANA,SGB-CPRM,-10.8736,-61.9356,129.6,RIO JI-PARANÁ (ou MACHADO),1977-12-01,,Ativo,RHN,0
15564000,JARUARU,1,133.0,15,JARU,RONDÔNIA,SEDAM-RO,SEDAM-RO,-10.8317,-62.8925,,RIO JARU,2011-04-01,,Ativo,RHN,0
15580000,TABAJARA,1,60200.0,15,MACHADINHO D'OESTE,RONDÔNIA,ANA,SGB-CPRM,-8.9322,-62.0556,68.0,RIO JI-PARANÁ (ou MACHADO),1977-12-01,,Ativo,RHN,0
15627300,ESPÍRITO SANTO,1,1400000.0,15,PORTO VELHO,RONDÔNIA,DNIT,DNIT,-8.1925,-63.1333,33.0,RIO MADEIRA,2021-05-01,,Ativo,RHN,0
15627400,CALAMA,1,1400000.0,15,PORTO VELHO,RONDÔNIA,DNIT,DNIT,-8.0806,-62.8781,31.0,RIO MADEIRA,2021-05-01,,Ativo,RHN,0
15630000,HUMAITÁ,1,1090000.0,15,HUMAITÁ,AMAZONAS,ANA,ÁGUA E SOLO,-7.5028,-63.0183,,RIO MADEIRA,1931-03-01,,Ativo,RHN,0
15660000,MAICI-MIRIM,1,735.0,15,HUMAITÁ,AMAZONAS,ANA,ÁGUA E SOLO,-7.6303,-62.6553,,RIO MAICIMIRIM,1997-01-01,,Ativo,RHN,0
